module,skill,display-name,menu-code,description,action,args,phase,after,before,required,output-location,outputs
Lens,lens-setup,Configure Lens,AX,"Install or update Lens module config and help entries.",configure,"{-H: headless mode}|{inline config values}",anytime,,lens-work-intake:start,false,{project-root}/_bmad,config and help entries
Lens,lens-work-intake,Start Work,SW,"Create a durable unit of work and hand off to the Lens/BMad lifecycle.",start,"{-H: headless mode}|{feature idea or related feature scope}|{--related: feature id}",0-intake,lens-setup:configure,lens-doctor:doctor,false,work_intake_path,work unit archive and lifecycle handoff
Lens,lens-doctor,Run Lens Doctor,LD,"Check stable IDs, parentage, draft state, links, and projection readiness.",doctor,"{-H: headless mode}|{path: project root or docs root}|{--include-drafts}",1-doctor,lens-work-intake:start,lens-map-audit:audit,true,reporting_output_path,lens doctor JSON health report
Lens,lens-map-audit,Audit Governance Map,MA,"Validate topology findings and produce a reviewable map audit report.",audit,"{-H: headless mode}|{path: project root or docs root}|{--html: HTML-capable report}",1-audit,lens-doctor:doctor,lens-projection-rebuild:rebuild,true,reporting_output_path,map audit findings report
Lens,lens-projection-rebuild,Rebuild Projection,PR,"Rebuild derived governance map JSON and Markdown from authored frontmatter.",rebuild,"{-H: headless mode}|{project root or docs root}|{--include-drafts}|{--force}",1-projection,lens-map-audit:audit,lens-ledger-promotion:promote,true,reporting_output_path,derived governance map JSON and Markdown
Lens,lens-ledger-promotion,Promote Ledger Knowledge,LP,"Promote completed published feature knowledge into living service/domain/program ledgers.",promote,"{-H: headless mode}|{feature path or scope}|{--apply: write approved ledger updates}",2-promotion,lens-projection-rebuild:rebuild,lens-salmon-impact:review,false,reporting_output_path,ledger promotion report and optional ledger updates
Lens,lens-salmon-impact,Review Salmon Impact,SI,"Trace upstream and downstream impact signals and classify recursive consistency risk.",review,"{-H: headless mode}|{origin artifact or scope}",3-impact,lens-ledger-promotion:promote,lens-topology-design:design,false,reporting_output_path,Salmon impact report
Lens,lens-topology-design,Design Topology,TD,"Create or update service/domain/program topology decisions from project evidence.",design,"{-H: headless mode}|{project context or scope}|{--apply: write approved ledger scaffolds}",4-topology,lens-salmon-impact:review,lens-reporting-snapshot:snapshot,false,reporting_output_path,topology decision report
Lens,lens-reporting-snapshot,Create Reporting Snapshot,RS,"Produce read-only stakeholder status snapshots and MVP1 UI ingestion JSON.",snapshot,"{-H: headless mode}|{scope}|{--format markdown,json}",5-reporting,lens-topology-design:design,,false,reporting_output_path,Markdown and JSON status snapshot

